Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
ahk3-3,25,1,2,0.014,0.4,0.6,1.87,1.27,0.414,41.4,,
ahk3-3,25,1,3,0.02,0.4,0.58,1.9,1.32,0.42,42,,
ahk3-3,25,1,4,0.01,0.38,0.5,1.85,1.35,0.39,39,,
ahk3-3,25,1,5,0.013,0.4,0.45,1.645,1.195,0.413,41.3,,
ahk3-3,25,1,6,0.012,0.4,0.52,1.65,1.13,0.412,41.2,,
ahk3-3,25,2,1,0.01,0.443,0.52,1.88,1.36,0.453,45.3,,
ahk3-3,25,2,2,0.02,0.532,0.61,1.54,0.93,0.552,55.2,,
ahk3-3,25,2,3,0.005,0.43,0.63,1.69,1.06,0.435,43.5,,
ahk3-3,25,2,4,0.007,0.447,0.536,1.51,0.974,0.454,45.4,,
ahk3-3,25,2,5,0.005,0.445,0.655,1.72,1.065,0.45,45,,
ahk3-3,25,2,6,0.027,0.49,0.56,1.49,0.93,0.517,51.7,,
ahk3-3,25,3,3,0.02,0.495,0.57,1.78,1.21,0.515,51.5,,
ahk3-3,25,3,4,0.015,0.415,0.53,1.78,1.25,0.43,43,0.558538462,
arr12-1/1-1,25,1,1,0.045,0.385,0.45,1.52,1.07,0.43,43,,
arr12-1/1-1,25,1,4,0.01,0.395,0.49,1.66,1.17,0.405,40.5,,
arr12-1/1-1,25,2,1,0.017,0.46,0.555,1.84,1.285,0.477,47.7,,
arr12-1/1-1,25,2,3,0.01,0.52,0.58,1.7,1.12,0.53,53,,
arr12-1/1-1,25,2,4,0.01,0.47,0.54,1.72,1.18,0.48,48,,
arr12-1/1-1,25,2,5,0.005,0.425,0.63,1.85,1.22,0.43,43,,
arr12-1/1-1,25,2,6,0.03,0.421,0.6,1.73,1.13,0.451,45.1,,
arr12-1/1-1,25,3,1,0.006,0.496,0.474,1.51,1.036,0.502,50.2,,
arr12-1/1-1,25,3,2,0.005,0.43,0.54,2.18,1.64,0.435,43.5,,
arr12-1/1-1,25,3,3,0.004,0.486,0.591,1.98,1.389,0.49,49,,
arr12-1/1-1,25,3,4,0.07,0.431,0.63,1.96,1.33,0.501,50.1,,
arr12-1/1-1,25,3,5,0.045,0.38,0.56,2.07,1.51,0.425,42.5,,
arr12-1/1-1,25,3,6,0.025,0.445,0.54,1.83,1.29,0.47,47,0.552307692,
bzr1-1D,25,1,1,0.02,0.385,0.6,2.12,1.52,0.405,40.5,,
bzr1-1D,25,1,2,0.012,0.45,0.615,2.02,1.405,0.462,46.2,,
bzr1-1D,25,1,3,0.015,0.44,0.65,2.11,1.46,0.455,45.5,,
